,episode_name,tv_show_name,imdb_ratings,runtime_in_mins,director,season
1285,Episode #3.2,American Crime Story,NA,42,Jeremiah Birkett,Season 3 | Episode 2
1286,Episode #3.3,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 3
1287,Episode #3.4,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 4
1288,Episode #3.5,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 5
1289,Episode #3.6,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 6
1290,Episode #3.7,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 7
1291,Episode #3.8,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 8
1292,Episode #3.9,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 9
1293,Episode #3.10,American Crime Story,NA,42,Sarah Paulson,Season 3 | Episode 10
1294,Episode #4.1,American Crime Story,NA,42,Jeffrey Toobin,Season 4 | Episode 1
1295,Episode #4.2,American Crime Story,NA,42,Jim Perez,Season 4 | Episode 2
1296,Episode #4.3,American Crime Story,NA,42,NA,Season 4 | Episode 3
1297,Episode #4.4,American Crime Story,NA,42,NA,Season 4 | Episode 4
1298,Episode #4.5,American Crime Story,NA,42,NA,Season 4 | Episode 5
1299,Episode #4.6,American Crime Story,NA,42,NA,Season 4 | Episode 6
1300,Episode #4.7,American Crime Story,NA,42,NA,Season 4 | Episode 7
1301,Episode #4.8,American Crime Story,NA,42,Maralyn Facey,Season 4 | Episode 8
1302,Episode #4.9,American Crime Story,NA,42,NA,Season 4 | Episode 9
1303,Pilot,The Passage,7.8,1,Jason Ensler,Season 1 | Episode 1
1304,You Owe Me a Unicorn,The Passage,8.0,44,Jason Ensler,Season 1 | Episode 2
1305,That Never Should Have Happened to You,The Passage,8.2,1,Jason Ensler,Season 1 | Episode 3
1306,Whose Blood is That?,The Passage,NA,1,Allison Liddi-Brown,Season 1 | Episode 4
1307,How You Gonna Outrun The End of The World?,The Passage,NA,1,Justin Cronin,Season 1 | Episode 5
1308,I Want to Know What You Taste Like,The Passage,NA,1,Jessica Lowrey,Season 1 | Episode 6
1309,Episode #1.7,The Passage,NA,1,Justin Cronin,Season 1 | Episode 7
1310,Episode #1.8,The Passage,NA,1,Justin Cronin,Season 1 | Episode 8
1311,Episode #1.9,The Passage,NA,1,Jason Ensler,Season 1 | Episode 9
1312,Episode #1.10,The Passage,NA,1,Justin Cronin,Season 1 | Episode 10
1313,Chapter One: The River's Edge,Riverdale,7.8,46,Lee Toland Krieger,Season 1 | Episode 1
1314,Chapter Two: A Touch of Evil,Riverdale,8.0,42,Lee Toland Krieger,Season 1 | Episode 2
1315,Chapter Three: Body Double,Riverdale,8.1,41,Lee Toland Krieger,Season 1 | Episode 3
1316,Chapter Four: The Last Picture Show,Riverdale,8.2,41,Mark Piznarski,Season 1 | Episode 4
1317,Chapter Five: Heart of Darkness,Riverdale,8.1,41,Jesse Warn,Season 1 | Episode 5
1318,"Chapter Six: Faster, Pussycats! Kill! Kill!",Riverdale,8.1,41,Steven A. Adelson,Season 1 | Episode 6
1319,Chapter Seven: In a Lonely Place,Riverdale,8.1,42,Allison Anders,Season 1 | Episode 7
1320,Chapter Eight: The Outsiders,Riverdale,7.9,42,David Katzenberg,Season 1 | Episode 8
1321,Chapter Nine: La Grande Illusion,Riverdale,7.8,41,Lee Rose,Season 1 | Episode 9
1322,Chapter Ten: The Lost Weekend,Riverdale,8.3,41,Dawn Wilkinson,Season 1 | Episode 10
1323,Chapter Eleven: To Riverdale and Back Again,Riverdale,8.3,42,Kevin Rodney Sullivan,Season 1 | Episode 11
1324,Chapter Twelve: Anatomy of a Murder,Riverdale,9.0,42,Rob Seidenglanz,Season 1 | Episode 12
1325,Chapter Thirteen: The Sweet Hereafter,Riverdale,8.8,42,Lee Toland Krieger,Season 1 | Episode 13
1326,Chapter Fourteen: A Kiss Before Dying,Riverdale,8.3,42,Rob Seidenglanz,Season 2 | Episode 1
1327,Chapter Fifteen: Nighthawks,Riverdale,8.2,42,Allison Anders,Season 2 | Episode 2
1328,Chapter Sixteen: The Watcher in the Woods,Riverdale,8.1,42,Kevin Rodney Sullivan,Season 2 | Episode 3
1329,Chapter Seventeen: The Town That Dreaded Sundown,Riverdale,8.2,42,Jason Stone,Season 2 | Episode 4
1330,Chapter Eighteen: When a Stranger Calls,Riverdale,8.7,42,Ellen S. Pressman,Season 2 | Episode 5
1331,Chapter Nineteen: Death Proof,Riverdale,8.3,42,Maggie Kiley,Season 2 | Episode 6
1332,Chapter Twenty: Tales from the Darkside,Riverdale,8.3,42,Dawn Wilkinson,Season 2 | Episode 7
1333,Chapter Twenty-One: House of the Devil,Riverdale,8.2,42,Kevin Rodney Sullivan,Season 2 | Episode 8
1334,"Chapter Twenty-Two: Silent Night, Deadly Night",Riverdale,8.5,42,Rob Seidenglanz,Season 2 | Episode 9
1335,Chapter Twenty-Three: The Blackboard Jungle,Riverdale,8.0,42,Tim Hunter,Season 2 | Episode 10
1336,Chapter Twenty-Four: The Wrestler,Riverdale,7.6,42,Gregg Araki,Season 2 | Episode 11
1337,Chapter Twenty-Five: The Wicked and the Divine,Riverdale,8.2,42,Rachel Talalay,Season 2 | Episode 12
1338,Chapter Twenty-Six: The Tell-Tale Heart,Riverdale,8.5,42,Julie Plec,Season 2 | Episode 13
1339,Chapter Twenty-Seven: The Hills Have Eyes,Riverdale,8.2,42,David Katzenberg,Season 2 | Episode 14
1340,Chapter Twenty-Eight: There Will Be Blood,Riverdale,8.1,42,Mark Piznarski,Season 2 | Episode 15
1341,Chapter Twenty-Nine: Primary Colors,Riverdale,8.2,42,Sherwin Shilati,Season 2 | Episode 16
1342,Chapter Thirty: The Noose Tightens,Riverdale,8.2,42,Alexis Ostrander,Season 2 | Episode 17
1343,Chapter Thirty-One: A Night to Remember,Riverdale,6.1,42,Jason Stone,Season 2 | Episode 18
1344,Chapter Thirty-Two: Prisoners,Riverdale,8.7,42,Jennifer Phang,Season 2 | Episode 19
1345,Chapter Thirty-Three: Shadow of a Doubt,Riverdale,8.6,42,Gregory Smith,Season 2 | Episode 20
1346,Chapter Thirty-Four: Judgment Night,Riverdale,9.3,42,Cherie Nowlan,Season 2 | Episode 21
1347,Chapter Thirty-Five: Brave New World,Riverdale,8.2,42,Steven A. Adelson,Season 2 | Episode 22
1348,Chapter Thirty-Six: Labor Day,Riverdale,8.1,42,Kevin Rodney Sullivan,Season 3 | Episode 1
1349,Chapter Thirty-Seven: Fortune and Men's Eyes,Riverdale,8.0,42,Jeff Woolnough,Season 3 | Episode 2
1350,"Chapter Thirty-Eight: As Above, So Below",Riverdale,7.8,42,Jeffrey G. Hunt,Season 3 | Episode 3
1351,Chapter Thirty-Nine: The Midnight Club,Riverdale,8.7,41,Dawn Wilkinson,Season 3 | Episode 4
1352,Chapter Forty: The Great Escape,Riverdale,8.5,42,Pamela Romanowsky,Season 3 | Episode 5
1353,Chapter Forty-One: Manhunter,Riverdale,8.3,42,Rachel Talalay,Season 3 | Episode 6
1354,Chapter Forty-Two: The Man in Black,Riverdale,8.2,42,Alex Pillai,Season 3 | Episode 7
1355,Chapter Forty-Three: Outbreak,Riverdale,8.4,45,John T. Kretchmer,Season 3 | Episode 8
1356,Chapter Forty-Four: No Exit,Riverdale,7.0,45,Jeffrey G. Hunt,Season 3 | Episode 9
1357,Chapter Forty-Five: The Stranger,Riverdale,8.2,45,Maggie Kiley,Season 3 | Episode 10
1358,Chapter Forty-Six: The Red Dahlia,Riverdale,NA,45,Gregory Smith,Season 3 | Episode 11
1359,Chapter Forty-Seven: Bizarrodale,Riverdale,NA,45,Harry Jierjian,Season 3 | Episode 12
1360,Chapter Forty-Eight: Requiem For A Welterweight,Riverdale,NA,45,Tawnia McKiernan,Season 3 | Episode 13
1361,Chapter Forty-Nine: Fire Walk with Me,Riverdale,NA,45,Marisol Adler,Season 3 | Episode 14
1362,Episode #3.15,Riverdale,NA,45,K.J. Apa,Season 3 | Episode 15
1363,Chapter Fifty-One: Big Fun,Riverdale,NA,45,Maggie Kiley,Season 3 | Episode 16
1364,Episode #3.17,Riverdale,NA,45,NA,Season 3 | Episode 17
1365,Episode #3.18,Riverdale,NA,45,NA,Season 3 | Episode 18
1366,Episode #3.19,Riverdale,NA,45,NA,Season 3 | Episode 19
1367,Episode #3.20,Riverdale,NA,45,NA,Season 3 | Episode 20
1368,Episode #3.21,Riverdale,NA,45,NA,Season 3 | Episode 21
1369,Episode #3.22,Riverdale,NA,45,NA,Season 3 | Episode 22
1370,Pilot,Shameless,8.6,58,Mark Mylod,Season 1 | Episode 1
1371,Frank the Plank,Shameless,8.3,54,John Wells,Season 1 | Episode 2
1372,Aunt Ginger,Shameless,8.6,51,Stephen Hopkins,Season 1 | Episode 3
1373,Casey Casden,Shameless,8.6,44,Todd Holland,Season 1 | Episode 4
1374,Three Boys,Shameless,8.2,43,Mimi Leder,Season 1 | Episode 5
1375,Killer Carl,Shameless,8.3,49,John Dahl,Season 1 | Episode 6
1376,"Frank Gallagher: Loving Husband, Devoted Father",Shameless,8.5,43,David Nutter,Season 1 | Episode 7
1377,It's Time to Kill the Turtle,Shameless,8.7,46,Scott Frank,Season 1 | Episode 8
1378,But at Last Came a Knock,Shameless,8.8,50,Mark Mylod,Season 1 | Episode 9
1379,Nana Gallagher Had an Affair,Shameless,8.7,48,Adam Bernstein,Season 1 | Episode 10
1380,Daddyz Girl,Shameless,8.7,45,Sanaa Hamri,Season 1 | Episode 11
1381,"Father Frank, Full of Grace",Shameless,9.0,50,Mark Mylod,Season 1 | Episode 12
1382,Summertime,Shameless,8.4,52,Mark Mylod,Season 2 | Episode 1
1383,Summer Loving,Shameless,8.2,52,John Wells,Season 2 | Episode 2
1384,I'll Light a Candle for You Every Day,Shameless,8.4,47,Craig Zisk,Season 2 | Episode 3
1385,A Beautiful Mess,Shameless,8.7,53,Mark Mylod,Season 2 | Episode 4
1386,Father's Day,Shameless,8.5,53,Anthony Hemingway,Season 2 | Episode 5
1387,Can I Have a Mother,Shameless,8.7,53,John Dahl,Season 2 | Episode 6
1388,A Bottle of Jean Nate,Shameless,8.3,48,David Nutter,Season 2 | Episode 7
1389,Parenthood,Shameless,8.8,54,Daisy von Scherler Mayer,Season 2 | Episode 8
1390,Hurricane Monica,Shameless,8.5,51,Alex Graves,Season 2 | Episode 9
1391,A Great Cause,Shameless,8.7,54,Mimi Leder,Season 2 | Episode 10
1392,Just Like the Pilgrims Intended,Shameless,9.2,50,Mark Mylod,Season 2 | Episode 11
1393,Fiona Interrupted,Shameless,8.9,56,John Wells,Season 2 | Episode 12
1394,El Gran Cañon,Shameless,8.8,59,Mark Mylod,Season 3 | Episode 1
1395,The American Dream,Shameless,8.7,56,Anthony Hemingway,Season 3 | Episode 2
1396,May I Trim Your Hedges?,Shameless,8.9,53,Steve Shill,Season 3 | Episode 3
1397,The Helpful Gallaghers,Shameless,8.7,51,Randall Einhorn,Season 3 | Episode 4
1398,The Sins of My Caretaker,Shameless,8.9,56,James M. Muro,Season 3 | Episode 5
1399,Cascading Failures,Shameless,9.0,54,Anthony Hemingway,Season 3 | Episode 6
1400,A Long Way from Home,Shameless,8.8,52,Mimi Leder,Season 3 | Episode 7
1401,Where There's a Will,Shameless,8.7,54,Danny Cannon,Season 3 | Episode 8
1402,Frank the Plumber,Shameless,9.1,56,Mark Mylod,Season 3 | Episode 9
1403,Civil Wrongs,Shameless,8.6,51,Gary B. Goldman,Season 3 | Episode 10
1404,Order Room Service,Shameless,8.9,54,Sanaa Hamri,Season 3 | Episode 11
1405,Survival of the Fittest,Shameless,9.3,57,Mark Mylod,Season 3 | Episode 12
1406,Simple Pleasures,Shameless,8.5,56,John Wells,Season 4 | Episode 1
1407,My Oldest Daughter,Shameless,8.7,49,Mimi Leder,Season 4 | Episode 2
1408,"Like Father, Like Daughter",Shameless,8.7,55,Sanaa Hamri,Season 4 | Episode 3
1409,Strangers on a Train,Shameless,8.8,56,Peter Segal,Season 4 | Episode 4
1410,There's the Rub,Shameless,9.3,51,David Nutter,Season 4 | Episode 5
1411,Iron City,Shameless,9.1,56,James Ponsoldt,Season 4 | Episode 6
1412,"A Jailbird, Invalid, Martyr, Cutter, Retard, and Parasitic Twin",Shameless,9.1,50,Gary B. Goldman,Season 4 | Episode 7
1413,Hope Springs Paternal,Shameless,9.0,55,Mimi Leder,Season 4 | Episode 8
1414,The Legend of Bonnie and Carl,Shameless,9.2,53,Mark Mylod,Season 4 | Episode 9
1415,"Liver, I Hardly Know Her",Shameless,9.0,51,Christopher Chulack,Season 4 | Episode 10
1416,Emily,Shameless,9.5,49,Anthony Hemingway,Season 4 | Episode 11
1417,Lazarus,Shameless,9.6,57,Mark Mylod,Season 4 | Episode 12
1418,Milk of the Gods,Shameless,8.6,55,Christopher Chulack,Season 5 | Episode 1
1419,I'm the Liver,Shameless,8.7,54,Sanaa Hamri,Season 5 | Episode 2
1420,The Two Lisas,Shameless,8.9,53,Peter Segal,Season 5 | Episode 3
1421,"A Night to Remem-- Wait, What?",Shameless,9.0,52,Richie Keen,Season 5 | Episode 4
1422,Rite of Passage,Shameless,9.1,51,Alex Graves,Season 5 | Episode 5
1423,Crazy Love,Shameless,9.3,57,Anthony Hemingway,Season 5 | Episode 6
1424,Tell Me You F**King Need Me,Shameless,8.9,51,William H. Macy,Season 5 | Episode 7
1425,Uncle Carl,Shameless,9.1,52,Wendey Stanzler,Season 5 | Episode 8
1426,Carl's First Sentencing,Shameless,9.2,58,Christopher Chulack,Season 5 | Episode 9
1427,South Side Rules,Shameless,9.1,53,Michael Uppendahl,Season 5 | Episode 10
1428,Drugs Actually,Shameless,9.2,55,Mimi Leder,Season 5 | Episode 11
1429,Love Songs (In the Key of Gallagher),Shameless,8.3,59,Christopher Chulack,Season 5 | Episode 12
1430,I Only Miss Her When I'm Breathing,Shameless,8.7,57,Christopher Chulack,Season 6 | Episode 1
1431,#AbortionRules,Shameless,8.3,55,Iain B. MacDonald,Season 6 | Episode 2
1432,The F Word,Shameless,8.8,53,Nisha Ganatra,Season 6 | Episode 3
1433,"Going Once, Going Twice",Shameless,8.8,57,Christopher Chulack,Season 6 | Episode 4
1434,Refugees,Shameless,8.7,55,Wendey Stanzler,Season 6 | Episode 5
1435,NSFW,Shameless,8.8,54,Jake Schreier,Season 6 | Episode 6
1436,Pimp's Paradise,Shameless,8.3,53,Peter Segal,Season 6 | Episode 7
1437,Be a Good Boy. Come for Grandma,Shameless,8.7,57,Iain B. MacDonald,Season 6 | Episode 8
1438,A Yurt of One's Own,Shameless,8.9,54,Ruben Garcia,Season 6 | Episode 9
1439,Paradise Lost,Shameless,8.6,49,Lynn Shelton,Season 6 | Episode 10
1440,Sleep No More,Shameless,9.1,50,Anthony Hemingway,Season 6 | Episode 11
1441,Familia Supra Gallegorious Omnia!,Shameless,9.1,56,Christopher Chulack,Season 6 | Episode 12
1442,Hiraeth,Shameless,8.8,54,Christopher Chulack,Season 7 | Episode 1
1443,"Swipe, Fuck, Leave",Shameless,8.5,50,Rob Hardy,Season 7 | Episode 2
1444,Home Sweet Homeless Shelter,Shameless,8.7,55,Iain B. MacDonald,Season 7 | Episode 3
1445,I Am A Storm,Shameless,8.8,55,Emmy Rossum,Season 7 | Episode 4
1446,Own Your Shit,Shameless,8.4,53,Christopher Chulack,Season 7 | Episode 5
1447,The Defenestration of Frank,Shameless,8.8,58,David Nutter,Season 7 | Episode 6
1448,You'll Never Ever Get a Chicken in Your Whole Entire Life,Shameless,8.5,54,John Wells,Season 7 | Episode 7
1449,"You Sold Me the Laundromat, Remember?",Shameless,9.2,54,Allison Liddi-Brown,Season 7 | Episode 8
1450,Ouroboros,Shameless,8.8,52,Christopher Chulack,Season 7 | Episode 9
1451,Ride or Die,Shameless,9.1,55,Zetna Fuentes,Season 7 | Episode 10
1452,Happily Ever After,Shameless,9.4,56,John M. Valerio,Season 7 | Episode 11
1453,Requiem for a Slut,Shameless,9.4,1,John Wells,Season 7 | Episode 12
1454,We Become What We... Frank!,Shameless,8.6,55,Iain B. MacDonald,Season 8 | Episode 1
1455,Where's My Meth?,Shameless,8.4,55,Anthony Hemingway,Season 8 | Episode 2
1456,God Bless Her Rotting Soul,Shameless,9.1,53,Michael Morris,Season 8 | Episode 3
1457,Fuck Paying It Forward,Shameless,8.7,53,Regina King,Season 8 | Episode 4
1458,The (Mis)Education of Liam Fergus Beircheart Gallagher,Shameless,8.4,58,Iain B. MacDonald,Season 8 | Episode 5
1459,Icarus Fell. And Rusty Ate Him.,Shameless,8.4,54,Zetna Fuentes,Season 8 | Episode 6
1460,Occupy Fiona,Shameless,8.3,54,Iain B. MacDonald,Season 8 | Episode 7
1461,Frank's Northern Shuttle Express,Shameless,8.3,55,Emmy Rossum,Season 8 | Episode 8
1462,The Fugees,Shameless,8.2,57,Jeffrey Reiner,Season 8 | Episode 9
1463,Church of Gay Jesus,Shameless,8.1,57,Anna Mastro,Season 8 | Episode 10
1464,A Gallagher Pedicure,Shameless,8.7,53,Iain B. MacDonald,Season 8 | Episode 11
1465,Sleepwalking,Shameless,8.4,57,John Wells,Season 8 | Episode 12
1466,"Are You There Shim? It's Me, Ian.",Shameless,8.4,55,Iain B. MacDonald,Season 9 | Episode 1
1467,Mo White!,Shameless,7.6,55,Erin Feeley,Season 9 | Episode 2
1468,Weirdo Gallagher Vortex,Shameless,7.8,55,Kat Coiro,Season 9 | Episode 3
1469,"Do Right, Vote White!",Shameless,8.0,56,Mark Mylod,Season 9 | Episode 4
1470,Black-Haired Ginger,Shameless,8.5,46,William H. Macy,Season 9 | Episode 5
1471,"Face It, You're Gorgeous",Shameless,9.3,46,Allison Liddi-Brown,Season 9 | Episode 6
1472,Down Like the Titanic,Shameless,8.7,46,Silver Tree,Season 9 | Episode 7
1473,The Apple Doesn't Fall Far From the Alibi,Shameless,7.8,46,Zetna Fuentes,Season 9 | Episode 8
1474,BOOOOOOOOOOOONE!,Shameless,8.2,46,Loren S. Yaconelli,Season 9 | Episode 9
1475,Los Diablos!,Shameless,NA,46,John Wells,Season 9 | Episode 10
1476,The Hobo Games,Shameless,NA,46,Molly Smith Metzler,Season 9 | Episode 11
1477,You'll Know the Bottom When You Hit It,Shameless,NA,46,Shari Springer Berman,Season 9 | Episode 12
1478,Lost,Shameless,NA,46,John Wells,Season 9 | Episode 13
1479,Found,Shameless,NA,46,John Wells,Season 9 | Episode 14
1480,Episode #1.1,Peaky Blinders,8.2,58,Otto Bathurst,Season 1 | Episode 1
1481,Episode #1.2,Peaky Blinders,8.4,58,Otto Bathurst,Season 1 | Episode 2
1482,Episode #1.3,Peaky Blinders,8.5,56,Otto Bathurst,Season 1 | Episode 3
1483,Episode #1.4,Peaky Blinders,8.8,59,Tom Harper,Season 1 | Episode 4
1484,Episode #1.5,Peaky Blinders,9.0,57,Tom Harper,Season 1 | Episode 5
1485,Episode #1.6,Peaky Blinders,9.2,55,Tom Harper,Season 1 | Episode 6
1486,Episode #2.1,Peaky Blinders,8.7,59,Colm McCarthy,Season 2 | Episode 1
1487,Episode #2.2,Peaky Blinders,8.6,58,Colm McCarthy,Season 2 | Episode 2
1488,Episode #2.3,Peaky Blinders,8.8,59,Colm McCarthy,Season 2 | Episode 3
1489,Episode #2.4,Peaky Blinders,8.6,58,Colm McCarthy,Season 2 | Episode 4
1490,Episode #2.5,Peaky Blinders,8.9,58,Colm McCarthy,Season 2 | Episode 5
1491,Episode #2.6,Peaky Blinders,9.6,59,Colm McCarthy,Season 2 | Episode 6
1492,Episode #3.1,Peaky Blinders,8.4,56,Tim Mielants,Season 3 | Episode 1
1493,Episode #3.2,Peaky Blinders,9.1,57,Tim Mielants,Season 3 | Episode 2
1494,Episode #3.3,Peaky Blinders,8.9,58,Tim Mielants,Season 3 | Episode 3
1495,Episode #3.4,Peaky Blinders,9.0,54,Tim Mielants,Season 3 | Episode 4
1496,Episode #3.5,Peaky Blinders,8.6,56,Tim Mielants,Season 3 | Episode 5
1497,Episode #3.6,Peaky Blinders,9.6,57,Tim Mielants,Season 3 | Episode 6
1498,The Noose,Peaky Blinders,9.5,1,David Caffrey,Season 4 | Episode 1
1499,Heathens,Peaky Blinders,9.3,57,David Caffrey,Season 4 | Episode 2
1500,Blackbird,Peaky Blinders,8.7,59,David Caffrey,Season 4 | Episode 3
1501,Dangerous,Peaky Blinders,8.8,57,David Caffrey,Season 4 | Episode 4
1502,The Duel,Peaky Blinders,8.9,57,David Caffrey,Season 4 | Episode 5
1503,The Company,Peaky Blinders,9.4,1,David Caffrey,Season 4 | Episode 6
1504,Episode #5.1,Peaky Blinders,NA,1,Anthony Byrne,Season 5 | Episode 1
1505,Episode #5.2,Peaky Blinders,NA,1,Anthony Byrne,Season 5 | Episode 2
1506,Episode #5.3,Peaky Blinders,NA,1,Anthony Byrne,Season 5 | Episode 3
1507,Episode #5.4,Peaky Blinders,NA,1,Anthony Byrne,Season 5 | Episode 4
1508,Episode #5.5,Peaky Blinders,NA,1,Anthony Byrne,Season 5 | Episode 5
1509,Episode #5.6,Peaky Blinders,NA,1,Anthony Byrne,Season 5 | Episode 6
1510,Pilot,The Good Place,8.2,24,Drew Goddard,Season 1 | Episode 1
1511,Flying,The Good Place,7.8,24,Michael McDonald,Season 1 | Episode 2
1512,Tahani Al-Jamil,The Good Place,8.2,24,Beth McCarthy-Miller,Season 1 | Episode 3
1513,Jason Mendoza,The Good Place,8.1,24,Payman Benz,Season 1 | Episode 4
1514,Category 55 Emergency Doomsday Crisis,The Good Place,8.2,24,Morgan Sackett,Season 1 | Episode 5
1515,What We Owe to Each Other,The Good Place,8.2,24,Tucker Gates,Season 1 | Episode 6
1516,The Eternal Shriek,The Good Place,8.5,24,Trent O'Donnell,Season 1 | Episode 7
1517,Most Improved Player,The Good Place,8.7,24,Tristram Shapeero,Season 1 | Episode 8
1518,...Someone Like Me as a Member,The Good Place,8.4,24,Dean Holland,Season 1 | Episode 9
1519,Chidi's Choice,The Good Place,8.5,24,Linda Mendoza,Season 1 | Episode 10
1520,What's My Motivation,The Good Place,8.4,24,Lynn Shelton,Season 1 | Episode 11
1521,Mindy St. Claire,The Good Place,8.6,24,Dean Holland,Season 1 | Episode 12
1522,Michael's Gambit,The Good Place,9.5,24,Michael Schur,Season 1 | Episode 13
1523,Everything is Great!,The Good Place,8.6,43,Trent O'Donnell,Season 2 | Episode 1
1524,Dance Dance Resolution,The Good Place,8.7,22,Drew Goddard,Season 2 | Episode 2
1525,Team Cockroach,The Good Place,8.2,22,Morgan Sackett,Season 2 | Episode 3
1526,Existential Crisis,The Good Place,8.1,22,Beth McCarthy-Miller,Season 2 | Episode 4
1527,The Trolley Problem,The Good Place,8.7,21,Dean Holland,Season 2 | Episode 5
1528,Janet and Michael,The Good Place,8.3,22,Dean Holland,Season 2 | Episode 6
1529,Derek,The Good Place,8.0,22,Jude Weng,Season 2 | Episode 7
1530,Leap to Faith,The Good Place,8.5,22,Linda Mendoza,Season 2 | Episode 8
1531,Best Self,The Good Place,8.5,22,Julie Anne Robinson,Season 2 | Episode 9
1532,"Rhonda, Diana, Jake, and Trent",The Good Place,9.0,21,Alan Yang,Season 2 | Episode 10
1533,The Burrito,The Good Place,9.0,21,Dean Holland,Season 2 | Episode 11
1534,Somewhere Else,The Good Place,9.1,21,Michael Schur,Season 2 | Episode 12
1535,Everything Is Bonzer!,The Good Place,8.4,43,Dean Holland,Season 3 | Episode 1
1536,The Brainy Bunch,The Good Place,7.8,22,Jude Weng,Season 3 | Episode 2
1537,The Snowplow,The Good Place,7.8,22,Beth McCarthy-Miller,Season 3 | Episode 3
1538,Jeremy Bearimy,The Good Place,8.5,22,Trent O'Donnell,Season 3 | Episode 4
1539,The Ballad of Donkey Doug,The Good Place,7.6,22,Rebecca Asher,Season 3 | Episode 5
1540,A Fractured Inheritance,The Good Place,7.9,22,Beth McCarthy-Miller,Season 3 | Episode 6
1541,The Worst Possible Use of Free Will,The Good Place,8.3,22,Claire Scanlon,Season 3 | Episode 7
1542,Don't Let the Good Life Pass You By,The Good Place,8.4,22,Dean Holland,Season 3 | Episode 8
1543,Janet(s),The Good Place,9.2,22,Morgan Sackett,Season 3 | Episode 9
1544,The Book of Dougs,The Good Place,8.2,22,Ken Whittingham,Season 3 | Episode 10
1545,Chidi Sees the Time-Knife,The Good Place,8.4,22,Jude Weng,Season 3 | Episode 11
1546,Pandemonium,The Good Place,8.6,22,Michael Schur,Season 3 | Episode 12
1547,Episode #4.1,The Good Place,NA,22,NA,Season 4 | Episode 1
1548,Pilot,Gotham,8.1,50,Danny Cannon,Season 1 | Episode 1
1549,Selina Kyle,Gotham,8.1,44,Danny Cannon,Season 1 | Episode 2
1550,The Balloonman,Gotham,7.9,44,Dermott Downs,Season 1 | Episode 3
1551,Arkham,Gotham,8.2,43,T.J. Scott,Season 1 | Episode 4
1552,Viper,Gotham,8.0,45,Tim Hunter,Season 1 | Episode 5
1553,Spirit of the Goat,Gotham,8.4,41,T.J. Scott,Season 1 | Episode 6
1554,Penguin's Umbrella,Gotham,9.1,42,Rob Bailey,Season 1 | Episode 7
1555,The Mask,Gotham,8.1,42,Paul A. Edwards,Season 1 | Episode 8
1556,Harvey Dent,Gotham,7.9,45,Karen Gaviola,Season 1 | Episode 9
1557,Lovecraft,Gotham,8.5,43,Guy Ferland,Season 1 | Episode 10
1558,Rogues' Gallery,Gotham,7.9,42,Oz Scott,Season 1 | Episode 11
1559,What the Little Bird Told Him,Gotham,8.5,42,Eagle Egilsson,Season 1 | Episode 12
1560,"Welcome Back, Jim Gordon",Gotham,8.0,45,Wendey Stanzler,Season 1 | Episode 13
1561,The Fearsome Dr. Crane,Gotham,8.2,45,John Behring,Season 1 | Episode 14
1562,The Scarecrow,Gotham,8.1,42,Nick Copus,Season 1 | Episode 15
1563,The Blind Fortune Teller,Gotham,8.6,44,Jeffrey G. Hunt,Season 1 | Episode 16
1564,Red Hood,Gotham,8.2,42,Nathan Hope,Season 1 | Episode 17
1565,Everyone Has a Cobblepot,Gotham,8.3,43,Bill Eagles,Season 1 | Episode 18
1566,Beasts of Prey,Gotham,8.3,40,Eagle Egilsson,Season 1 | Episode 19
1567,Under the Knife,Gotham,8.6,44,T.J. Scott,Season 1 | Episode 20
1568,The Anvil or the Hammer,Gotham,8.8,44,Paul A. Edwards,Season 1 | Episode 21
1569,All Happy Families Are Alike,Gotham,9.0,45,Danny Cannon,Season 1 | Episode 22
1570,Rise of the Villains: Damned If You Do...,Gotham,8.5,45,Danny Cannon,Season 2 | Episode 1
1571,"Rise of the Villains: Knock, Knock",Gotham,9.1,45,Rob Bailey,Season 2 | Episode 2
1572,Rise of the Villains: The Last Laugh,Gotham,9.1,45,Eagle Egilsson,Season 2 | Episode 3
1573,Rise of the Villains: Strike Force,Gotham,8.3,45,T.J. Scott,Season 2 | Episode 4
1574,Rise of the Villains: Scarification,Gotham,8.3,43,Bill Eagles,Season 2 | Episode 5
1575,Rise of the Villains: By Fire,Gotham,8.5,44,T.J. Scott,Season 2 | Episode 6
1576,Rise of the Villains: Mommy's Little Monster,Gotham,9.0,44,Kenneth Fink,Season 2 | Episode 7
1577,Rise of the Villains: Tonight's the Night,Gotham,8.6,44,Jeffrey G. Hunt,Season 2 | Episode 8
1578,Rise of the Villains: A Bitter Pill to Swallow,Gotham,8.6,44,Louis Shaw Milito,Season 2 | Episode 9
1579,Rise of the Villains: The Son of Gotham,Gotham,9.1,44,Rob Bailey,Season 2 | Episode 10
1580,Rise of the Villains: Worse Than a Crime,Gotham,9.1,43,Jeffrey G. Hunt,Season 2 | Episode 11
1581,Wrath of the Villains: Mr. Freeze,Gotham,8.3,44,Nick Copus,Season 2 | Episode 12
